POSTCODE,DATE,INDEX
2000,2020-04-27,-0.22960193054229233
2000,2020-04-28,-0.41468010725957544
2000,2020-04-29,-0.38088134087398934
2000,2020-04-30,-0.4317911810768669
2000,2020-05-01,-0.40454348582716243
2000,2020-05-02,-0.38625407743901946
2000,2020-05-03,-0.418147416530317
2000,2020-05-04,-0.34659348639399307
2000,2020-05-05,-0.3190106287643549
2000,2020-05-06,-0.37014094052874197
2000,2020-05-07,-0.28681279635579154
2000,2020-05-08,-0.27249381025917857
2000,2020-05-09,-0.4200987968821686
2000,2020-05-10,-0.555720056393525
2000,2020-05-11,-0.2928624131307434
2000,2020-05-12,-0.28566595956028756
2007,2020-01-22,-0.5820538795715822
2007,2020-01-23,-0.5820538795715822
2007,2020-01-24,-0.5820538795715822
2007,2020-01-25,-0.5820538795715822
2007,2020-01-26,-0.5820538795715822
2007,2020-01-27,-0.5820538795715822
2007,2020-01-28,-0.5820538795715822
2007,2020-01-29,-0.5820538795715822
2007,2020-01-30,-0.5820538795715822
2007,2020-01-31,-0.5820538795715822
2007,2020-02-01,-0.5820538795715822
2007,2020-02-02,-0.5820538795715822
2007,2020-02-03,-0.5820538795715822
2007,2020-02-04,-0.5820538795715822
2007,2020-02-05,-0.5820538795715822
2007,2020-02-06,-0.5820538795715822
2007,2020-02-07,-0.5820538795715822
2007,2020-02-08,-0.5820538795715822
2007,2020-02-09,-0.5820538795715822
2007,2020-02-10,-0.5820538795715822
2007,2020-02-11,-0.5820538795715822
2007,2020-02-12,-0.5820538795715822
2007,2020-02-13,-0.5820538795715822
2007,2020-02-14,-0.5820538795715822
2007,2020-02-15,-0.5820538795715822
2007,2020-02-16,-0.5820538795715822
2007,2020-02-17,-0.5820538795715822
2007,2020-02-18,-0.5820538795715822
2007,2020-02-19,-0.5820538795715822
2007,2020-02-20,-0.5820538795715822
2007,2020-02-21,-0.5820538795715822
2007,2020-02-22,-0.5820538795715822
2007,2020-02-23,-0.5820538795715822
2007,2020-02-24,-0.5820538795715822
2007,2020-02-25,-0.5820538795715822
2007,2020-02-26,-0.5820538795715822
2007,2020-02-27,-0.5820538795715822
2007,2020-02-28,-0.5820538795715822
2007,2020-02-29,-0.5820538795715822
2007,2020-03-01,-0.5820538795715822
2007,2020-03-02,-0.5820538795715822
2007,2020-03-03,-0.4602291605165033
2007,2020-03-04,-0.5819595898291807
2007,2020-03-05,-1.048625972072125
2007,2020-03-06,-0.529331647465728
2007,2020-03-07,-0.5133903291800875
2007,2020-03-08,-0.7268586447004718
2007,2020-03-09,-0.5045542182445042
2007,2020-03-10,-0.7414196835278022
2007,2020-03-11,-0.39953188746883117
2007,2020-03-12,-0.6603471995994106
2007,2020-03-13,-0.6368923140065568
2007,2020-03-14,-0.5921080678892664
2007,2020-03-15,-0.5985271182975805
2007,2020-03-16,-0.5234301977008091
2007,2020-03-17,-0.4498530348903488
2007,2020-03-18,-0.4867387767953604
2007,2020-03-19,-0.7751936585498855
2007,2020-03-20,-0.48948319481623503
2007,2020-03-21,-0.5650641805873611
2007,2020-03-22,-0.6743625139689192
2007,2020-03-23,0.37311145617494906
2007,2020-03-24,-0.4028397495508891
2007,2020-03-25,-0.4999195028541008
2007,2020-03-26,-0.4359520698344974
2007,2020-03-27,-0.5666793144427726
2007,2020-03-28,-0.3009576954146842
2007,2020-03-29,-0.8401057172395698
2007,2020-03-30,-0.5893066380307075
2007,2020-03-31,-0.41637698885324337
2007,2020-04-01,-1.7324083085631519
2007,2020-04-02,-0.6355038844714075
2007,2020-04-03,-0.6114654841285287
2007,2020-04-04,-0.38842611990541454
2007,2020-04-05,-0.42572136614005596
2007,2020-04-06,-0.5391057689857276
2007,2020-04-07,-0.7307366996091771
2007,2020-04-08,-0.8901664517814483
2007,2020-04-09,-0.5424828608786945
2007,2020-04-10,-0.28252800967998243
2007,2020-04-11,-0.7075069534533838
2007,2020-04-12,-0.7132234814018694
2007,2020-04-13,-0.6789205177946953
2007,2020-04-14,-0.8242020305802364
2007,2020-04-15,-0.9679518916210578
2007,2020-04-16,-0.29324021971881176
2007,2020-04-17,-0.373027945199486
2007,2020-04-18,-0.4767172783726825
2007,2020-04-19,-0.584121024272219
2007,2020-04-20,-0.42020678776114184
2007,2020-04-21,-0.9885950386920835
2007,2020-04-22,-0.5639119933267286
2007,2020-04-23,-0.6557478332904205
2007,2020-04-24,-0.50111345720473
2007,2020-04-25,-0.3594999144523727
2007,2020-04-26,-0.3090862173790277
2007,2020-04-27,-0.43002619917612406
2007,2020-04-28,-0.6173265593004801
2007,2020-04-29,-0.8302909819248359
2007,2020-04-30,-1.1517818802436368
2007,2020-05-01,-0.80613736189577
2007,2020-05-02,-0.3988782602145704
2007,2020-05-03,-0.6080764333183122
2007,2020-05-04,-0.5293526309574397
2007,2020-05-05,-0.7956162900163202
2007,2020-05-06,-0.39720320773442486
2007,2020-05-07,-0.4758917844031465
2007,2020-05-08,-0.5398234166274238
2007,2020-05-09,-0.9287260398522684
2007,2020-05-10,-1.0818880699648679
2007,2020-05-11,-0.31022140329820097
2007,2020-05-12,-0.31022140329820097
2008,2020-01-22,-0.6441211520028436
2008,2020-01-23,-0.6441211520028436
2008,2020-01-24,-0.6441211520028436
2008,2020-01-25,-0.6441211520028436
2008,2020-01-26,-0.6441211520028436
2008,2020-01-27,-0.6441211520028436
2008,2020-01-28,-0.6441211520028436
2008,2020-01-29,-0.6441211520028436
2008,2020-01-30,-0.6441211520028436
2008,2020-01-31,-0.6441211520028436
2008,2020-02-01,-0.6441211520028436
2008,2020-02-02,-0.6441211520028436
2008,2020-02-03,-0.6441211520028436
2008,2020-02-04,-0.6441211520028436
2008,2020-02-05,-0.6441211520028436
2008,2020-02-06,-0.6441211520028436
2008,2020-02-07,-0.6441211520028436
2008,2020-02-08,-0.6441211520028436
2008,2020-02-09,-0.6441211520028436
2008,2020-02-10,-0.6441211520028436
2008,2020-02-11,-0.6441211520028436
2008,2020-02-12,-0.6441211520028436
2008,2020-02-13,-0.6441211520028436
2008,2020-02-14,-0.6441211520028436
2008,2020-02-15,-0.6441211520028436
2008,2020-02-16,-0.6441211520028436
2008,2020-02-17,-0.6441211520028436
2008,2020-02-18,-0.6441211520028436
2008,2020-02-19,-0.6441211520028436
2008,2020-02-20,-0.6441211520028436
2008,2020-02-21,-0.6441211520028436
2008,2020-02-22,-0.6441211520028436
2008,2020-02-23,-0.6441211520028436
2008,2020-02-24,-0.6441211520028436
2008,2020-02-25,-0.6441211520028436
2008,2020-02-26,-0.6441211520028436
2008,2020-02-27,-0.6441211520028436
2008,2020-02-28,-0.6441211520028436
2008,2020-02-29,-0.6441211520028436
2008,2020-03-01,-0.6441211520028436
2008,2020-03-02,-0.6441211520028436
2008,2020-03-03,-0.7077193030401181
2008,2020-03-04,-0.7678024220315164
2008,2020-03-05,-0.7001195943563734
2008,2020-03-06,-0.45449151879583727
2008,2020-03-07,-0.5643618038165049
2008,2020-03-08,-0.6775554850417612
2008,2020-03-09,-0.49264040024635103
2008,2020-03-10,-0.8460357397698877
2008,2020-03-11,-0.7639399383956069
2008,2020-03-12,-0.6864910688643069
2008,2020-03-13,-0.6259052495935589
2008,2020-03-14,-0.5361401432096883
2008,2020-03-15,-0.5081048406217856
2008,2020-03-16,-0.6610516500431363
2008,2020-03-17,-0.8296872349746911
2008,2020-03-18,-1.0313457790899192
2008,2020-03-19,-0.8574487676495925
2008,2020-03-20,-0.6941073117648204
2008,2020-03-21,-0.41159918921338234
2008,2020-03-22,-0.7257724749757017
2008,2020-03-23,-0.6289337116073577
2008,2020-03-24,-0.5326697150504592
2008,2020-03-25,-0.552146559884688
2008,2020-03-26,-0.4354322781898604
2008,2020-03-27,-0.8225349546568985
2008,2020-03-28,-0.34349179779060357
2008,2020-03-29,-1.1223539439546115
2008,2020-03-30,-0.6717699853817463
2008,2020-03-31,-0.46638471826893624
2008,2020-04-01,-0.7560242789798176
2008,2020-04-02,-1.1098340187540596
2008,2020-04-03,-0.6099812671371174
2008,2020-04-04,-0.4147599644350842
2008,2020-04-05,-0.5443839182378669
2008,2020-04-06,-0.679790809729614
2008,2020-04-07,-0.820980638910326
2008,2020-04-08,-0.967953405780002
2008,2020-04-09,-0.38257138338443497
2008,2020-04-10,-0.47265448053323966
2008,2020-04-11,-0.6942141146157301
2008,2020-04-12,-0.9471070820315538
2008,2020-04-13,-0.7779342207054125
2008,2020-04-14,-0.6580051367645154
2008,2020-04-15,-0.5451581515181959
2008,2020-04-16,-0.43939326496645403
2008,2020-04-17,-0.39001608708628477
2008,2020-04-18,-0.815678336542959
2008,2020-04-19,-0.30522947488852203
2008,2020-04-20,-0.36950977990075173
2008,2020-04-21,-0.43533175157964776
2008,2020-04-22,-0.5358940010363219
2008,2020-04-23,-0.5366747690115146
2008,2020-04-24,-0.7079851666163368
2008,2020-04-25,-0.4244807494063443
2008,2020-04-26,-0.18319855441857397
2008,2020-04-27,-0.2716385816530258
2008,2020-04-28,-0.22368971999858872
2008,2020-04-29,-0.6927981500108185
2008,2020-04-30,-0.6637526448378629
2008,2020-05-01,-0.632618019294537
2008,2020-05-02,-0.5993942733808406
2008,2020-05-03,-0.5620248388097369
2008,2020-05-04,-0.5128975917386331
2008,2020-05-05,-0.5594057131088876
2008,2020-05-06,-0.5617609924009526
2008,2020-05-07,-0.5638346358905486
2008,2020-05-08,-0.5656266435776752
2008,2020-05-09,-1.2278178834995697
2008,2020-05-10,-1.2278178834995697
2008,2020-05-11,-1.2278178834995697
2008,2020-05-12,-1.2278178834995697
2009,2020-01-22,-0.37563540196197887
2009,2020-01-23,-0.37563540196197887
2009,2020-01-24,-0.37563540196197887
2009,2020-01-25,-0.37563540196197887
2009,2020-01-26,-0.37563540196197887
2009,2020-01-27,-0.37563540196197887
2009,2020-01-28,-0.37563540196197887
2009,2020-01-29,-0.37563540196197887
2009,2020-01-30,-0.37563540196197887
2009,2020-01-31,-0.37563540196197887
2009,2020-02-01,-0.37563540196197887
2009,2020-02-02,-0.37563540196197887
2009,2020-02-03,-0.37563540196197887
2009,2020-02-04,-0.37563540196197887
2009,2020-02-05,-0.37563540196197887
2009,2020-02-06,-0.37563540196197887
2009,2020-02-07,-0.37563540196197887
2009,2020-02-08,-0.37563540196197887
2009,2020-02-09,-0.37563540196197887
2009,2020-02-10,-0.37563540196197887
2009,2020-02-11,-0.37563540196197887
2009,2020-02-12,-0.37563540196197887
2009,2020-02-13,-0.37563540196197887
2009,2020-02-14,-0.37563540196197887
2009,2020-02-15,-0.37563540196197887
2009,2020-02-16,-0.37563540196197887
2009,2020-02-17,-0.37563540196197887
2009,2020-02-18,-0.37563540196197887
2009,2020-02-19,-0.37563540196197887
2009,2020-02-20,-0.37563540196197887
2009,2020-02-21,-0.37563540196197887
2009,2020-02-22,-0.37563540196197887
2009,2020-02-23,-0.37563540196197887
2009,2020-02-24,-0.37563540196197887
2009,2020-02-25,-0.37563540196197887
2009,2020-02-26,-0.37563540196197887
2009,2020-02-27,-0.37563540196197887
2009,2020-02-28,-0.37563540196197887
2009,2020-02-29,-0.37563540196197887
2009,2020-03-01,-0.37563540196197887
2009,2020-03-02,-0.18154219861104826
2009,2020-03-03,-0.5945960305257999
2009,2020-03-04,-0.31056437010741555
2009,2020-03-05,-0.309976609237555
2009,2020-03-06,-0.28342360093650587
2009,2020-03-07,-0.4637661567927157
2009,2020-03-08,-0.38620895937236155
2009,2020-03-09,-0.3590729828460859
2009,2020-03-10,-0.4327452142686735
2009,2020-03-11,-0.19758604574357697
2009,2020-03-12,-0.4021587179930416
2009,2020-03-13,-0.5556883398698934
2009,2020-03-14,-0.38732129139385163
